t,X_mean,X_sd
0.047,0.039669428,0.032539554
0.29,0.39764947,0.03091729
0.419,0.41329747,0.029933626
0.057,0.056874122,0.030283902
0.634,0.60620034,0.033094037
0.972,0.9605651,0.029724695
0.867,0.8365955,0.032161415
0.54,0.51951003,0.033966575
0.119,0.22414817,0.017790088
0.548999999999999,0.52330333,0.034462273
0.792,0.77802813,0.030949762
0.667999999999999,0.60921544,0.031487677
0.717,0.7241872,0.033224814
0.87,0.88683766,0.036981914
0.824,0.82522017,0.03529061
0.935999999999999,0.91770804,0.03293177
0.258,0.30118132,0.038649637
0.024,-0.009610291,0.02994806
0.920999999999999,0.9770868,0.038299967
0.938,0.9229952,0.0287686
0.905999999999999,0.85133207,0.033849344
0.006,0.026821489,0.025787232
0.76,0.7531246,0.03754096
0.129,0.19318472,0.020327767
0.403999999999999,0.404409,0.029593417
0.455,0.48506865,0.03118646
0.968,0.9318199,0.031493768
0.054,-0.005769592,0.031333447
0.915,0.92924136,0.034092832
0.0819999999999999,0.08743453,0.026116833
0.502,0.5285902,0.032094315
0.92,0.9048408,0.031670295
0.568,0.55822843,0.03469019
0.127,0.1117417,0.023242088
0.1,0.10891804,0.02471842
0.670999999999999,0.6200925,0.030374827
0.884,0.9220007,0.0304463
0.984,0.9755515,0.034425292
0.28,0.30196148,0.031824075
0.675999999999999,0.6390533,0.033822216
0.196,0.25056526,0.026365824
0.321,0.29951334,0.028315583
0.924,0.9283962,0.032762166
0.821,0.7935683,0.030427426
0.457999999999999,0.48247266,0.029517462
0.816,0.8315024,0.03467768
0.893,0.9026375,0.03384432
0.790999999999999,0.773127,0.029807044
0.168,0.18661048,0.023422262
0.613,0.5761064,0.031601883
0.647,0.5951393,0.030440807
0.396,0.44068685,0.031411625
0.89,0.87822765,0.033884596
0.857,0.8797553,0.03431
0.809,0.8121279,0.03452139
0.871,0.8913817,0.038119454
0.425,0.42610353,0.03044114
0.930999999999999,0.93109006,0.029991202
0.163999999999999,0.25616297,0.023164527
0.26,0.2977121,0.038099095
0.026,0.05865948,0.036629714
0.865,0.83882403,0.035427693
0.162,0.22346757,0.0241011
0.105,0.110917345,0.02283972
0.487,0.48606852,0.033700757
0.957,0.93740577,0.030003281
0.143,0.103924215,0.022303835
0.149,0.12539932,0.023971211
0.768,0.7996731,0.04324403
0.78,0.8029322,0.039074115
0.773,0.76653063,0.033606127
0.356,0.32946852,0.031535808
0.729,0.7438657,0.040485952
0.897,0.917421,0.03372126
0.05,0.050863322,0.025409935
0.585,0.58056563,0.031083744
0.875,0.8913813,0.034114372
0.672999999999999,0.61840576,0.033195138
0.37,0.3829337,0.027425528
0.171,0.17974775,0.023078075
0.027,0.030128019,0.025843235
0.526,0.5385673,0.031464588
0.525,0.54128677,0.032914147
0.91,0.9397026,0.03684476
0.553999999999999,0.53514284,0.03310202
0.770999999999999,0.765774,0.033917315
0.08,0.07551324,0.026597904
0.872,0.8936167,0.030705974
0.481,0.49204934,0.03131995
0.075,0.035638988,0.024711356
0.377,0.39655045,0.029727727
0.888,0.86662346,0.034539636
0.662,0.6436506,0.032346647
0.667,0.6226453,0.03470361
0.027,0.05781099,0.028965397
0.373,0.39675835,0.02908402
0.437999999999999,0.46736932,0.029144617
0.66,0.63854176,0.03260911
0.828,0.82316077,0.03518815
0.739,0.715861,0.04232626
0.376,0.3420501,0.027404265
0.074,0.047343895,0.026576562
0.158,0.14871989,0.02303924
0.44,0.49265683,0.02944255
0.91,0.91601646,0.033207923
0.624,0.58267444,0.030098565
0.903,0.88769746,0.03414242
0.067,0.07405346,0.027181644
0.531,0.53061634,0.03177509
0.153,0.14651552,0.024659134
0.218999999999999,0.15260647,0.026506726
0.702,0.6833997,0.0355719
0.369,0.35982,0.029676167
0.435,0.4269963,0.030624015
0.805,0.79283834,0.03266906
0.93,0.936739,0.039790444
0.157,0.17556934,0.024787398
0.417,0.44873533,0.029491793
0.883,0.88561934,0.034346797
0.747,0.769104,0.028993364
0.895,0.91549057,0.029977519
0.807999999999999,0.8087963,0.034858402
0.456,0.4523754,0.030702284
0.379,0.3928879,0.029342711
0.225,0.18347529,0.031037897
0.677999999999999,0.680404,0.031406518
0.133,0.11514708,0.023487594
0.035,0.048317853,0.025505768
0.118,0.084978774,0.025115373
0.391,0.4117926,0.027976904
0.23,0.2670127,0.038226396
0.299,0.3205672,0.03988223
0.576,0.5335092,0.032853153
0.810999999999999,0.80970436,0.035419956
0.708,0.70436686,0.03273569
0.076,0.047697622,0.02695777
0.0969999999999999,0.058180563,0.027263163
0.731,0.73103875,0.03348654
