names,cell_cycle_phase,cell_cycle_hrs
A5_357,S-ph,0.359
A6_357,G2M,0.885999999999999
A7_357,S-ph,0.971
A8_357,G2M,0.964
A9_357,S-ph,0.27
B10_357,S-ph,0.262
B11_357,G2M,0.951
B12_357,S-ph,0.264
B13_357,G2M,0.914
B14_357,G2M,0.754
B15_357,G1,0.0409999999999999
B16_357,G1,0.068
B18_357,S-ph,0.46
B19_357,S-ph,0.564
B1_357,G2M,0.976
B20_357,G1,0.135
B21_357,G2M,0.839
B22_357,G2M,0.946
B23_357,G2M,0.807999999999999
B24_357,G2M,0.974
B2_357,G2M,0.952
B3_357,G1,0.196999999999999
B4_357,S-ph,0.588
B6_357,G1,0.07
B7_357,G2M,0.989
B8_357,G2M,0.961
B9_357,G1,
C10_357,S-ph,0.49
C11_357,S-ph,0.369
C12_357,G1,0.115
C13_357,S-ph,0.375
C14_357,G2M,0.907
C16_357,G1,0.021
C17_357,G2M,0.98
C18_357,S-ph,0.363
C19_357,S-ph,0.397
C1_357,S-ph,0.437
C20_357,G1,0.073
C21_357,G1,0.111999999999999
C22_357,S-ph,0.705
C23_357,G2M,0.902
C24_357,G2M,0.81
C2_357,G2M,0.975
C3_357,G1,0.086
C4_357,G2M,0.967
C5_357,G2M,0.859
C6_357,S-ph,0.612
C8_357,G2M,0.882
C9_357,S-ph,0.5
D10_357,G1,0.128
D11_357,G1,0.107
D12_357,S-ph,0.34
D13_357,G2M,0.802
D14_357,G1,
D15_357,G1,0.104
D16_357,G1,0.02
D17_357,G2M,0.869
D18_357,S-ph,0.365
D19_357,G2M,0.85
D1_357,G1,
D20_357,G1,0.047
D21_357,S-ph,0.29
D23_357,S-ph,0.419
D24_357,G1,0.057
D2_357,S-ph,0.634
D3_357,G2M,0.972
D4_357,G2M,0.867
D5_357,G1,
D6_357,S-ph,0.54
D7_357,G1,0.119
D8_357,S-ph,0.548999999999999
D9_357,G2M,0.792
E10_357,G1,
E11_357,S-ph,0.667999999999999
E12_357,S-ph,0.717
E13_357,G2M,0.87
E14_357,G2M,0.824
E15_357,G2M,0.935999999999999
E16_357,S-ph,0.258
E17_357,G1,0.024
E18_357,G2M,0.920999999999999
E19_357,G2M,0.938
E1_357,G2M,0.905999999999999
E21_357,G1,0.006
E22_357,G2M,0.76
E23_357,G1,0.129
E24_357,S-ph,0.403999999999999
E2_357,S-ph,0.455
E3_357,G2M,0.968
E4_357,G1,0.054
E5_357,G2M,0.915
E6_357,G1,0.0819999999999999
E7_357,S-ph,0.502
E8_357,G2M,0.92
E9_357,S-ph,0.568
F10_357,G1,
F11_357,G1,0.127
F13_357,G1,0.1
F14_357,S-ph,0.670999999999999
F15_357,G2M,0.884
F16_357,G2M,0.984
F17_357,S-ph,0.28
F18_357,G1,
F19_357,S-ph,0.675999999999999
F1_357,G1,0.196
F20_357,S-ph,0.321
F21_357,G2M,0.924
F23_357,G2M,0.821
F24_357,S-ph,0.457999999999999
F2_357,G2M,0.816
F3_357,G2M,0.893
F4_357,G2M,0.790999999999999
F5_357,G1,0.168
F6_357,S-ph,0.613
F7_357,S-ph,0.647
F8_357,S-ph,0.396
F9_357,G2M,0.89
G10_357,G2M,0.857
G11_357,G2M,0.809
G12_357,G2M,0.871
G13_357,S-ph,0.425
G14_357,G1,
G15_357,G2M,0.930999999999999
G16_357,G1,0.163999999999999
G17_357,G1,0.26
G18_357,G1,0.026
G19_357,G1,
G1_357,G2M,0.865
G20_357,G1,0.162
G21_357,G1,0.105
G22_357,S-ph,0.487
G23_357,G2M,0.957
G24_357,G1,0.143
G2_357,G1,0.149
G3_357,G2M,0.768
G4_357,G2M,0.78
G5_357,G2M,0.773
G6_357,S-ph,0.356
G7_357,G2M,0.729
G8_357,G2M,0.897
G9_357,G1,
H10_357,G1,0.05
H11_357,S-ph,0.585
H13_357,G2M,0.875
H15_357,S-ph,0.672999999999999
H16_357,S-ph,0.37
H17_357,G1,0.171
H18_357,G1,0.027
H19_357,G1,
H1_357,S-ph,0.526
H21_357,S-ph,0.525
H22_357,G2M,0.91
H23_357,S-ph,0.553999999999999
H24_357,G2M,0.770999999999999
H3_357,G1,0.08
H5_357,G1,
H6_357,G1,
H7_357,G2M,0.872
H8_357,S-ph,0.481
H9_357,G1,0.075
I10_357,S-ph,0.377
I12_357,G2M,0.888
I13_357,S-ph,0.662
I14_357,S-ph,0.667
I15_357,G1,0.027
I16_357,S-ph,0.373
I17_357,G1,
I18_357,S-ph,0.437999999999999
I19_357,S-ph,0.66
I1_357,G2M,0.828
I20_357,G2M,0.739
I21_357,S-ph,0.376
I22_357,G1,0.074
I23_357,G1,0.158
I24_357,S-ph,0.44
I2_357,G2M,0.91
I3_357,S-ph,0.624
I4_357,G2M,0.903
I5_357,G1,0.067
I7_357,S-ph,0.531
I8_357,G1,0.153
I9_357,G1,
J10_357,G1,
J11_357,G1,0.218999999999999
J12_357,G2M,0.702
J13_357,S-ph,0.369
J14_357,S-ph,0.435
J15_357,G2M,0.805
J16_357,G1,
J17_357,G2M,
J18_357,G2M,0.93
J19_357,G1,0.157
J1_357,S-ph,0.417
J20_357,G2M,0.883
J21_357,G2M,0.747
J22_357,G2M,0.895
J23_357,G2M,0.807999999999999
J24_357,S-ph,0.456
J2_357,S-ph,0.379
J3_357,G1,0.225
J4_357,S-ph,0.677999999999999
J5_357,G1,0.133
J6_357,G1,0.035
J7_357,G1,0.118
J8_357,S-ph,0.391
J9_357,G1,0.23
K10_357,G1,0.299
K11_357,S-ph,0.576
K12_357,G2M,0.810999999999999
K13_357,G1,
K14_357,G2M,0.708
K15_357,G1,0.076
K16_357,G1,0.0969999999999999
K17_357,G1,
K18_357,G2M,0.731
K19_357,S-ph,0.643
K1_357,G2M,0.792999999999999
K20_357,G1,0.205
K21_357,G1,0.239
K22_357,G2M,0.746
K23_357,G2M,0.79
K24_357,G2M,0.750999999999999
K2_357,G1,0.054
K3_357,G2M,0.83
K4_357,G2M,0.714
K7_357,S-ph,0.657
K8_357,S-ph,0.489
K9_357,G1,0.124
L10_357,G1,0.147
L11_357,G1,0.102
L12_357,G2M,0.775999999999999
L13_357,G2M,0.787999999999999
L14_357,G2M,0.834
L15_357,G2M,0.684
L16_357,S-ph,0.401
L17_357,G2M,0.732
L18_357,G1,
L19_357,G1,0.272
L1_357,G1,0.052
L21_357,G2M,0.701
L22_357,G2M,0.680999999999999
L24_357,S-ph,0.532999999999999
L2_357,G2M,0.75
L4_357,G1,0.175
L5_357,G2M,0.693
L6_357,G1,
L7_357,G1,0.221
L8_357,S-ph,0.539
L9_357,G2M,0.71
M10_357,G2M,0.685999999999999
M11_357,G2M,0.679
M13_357,S-ph,0.527
M14_357,G1,0.223
M15_357,G1,
M16_357,S-ph,0.437999999999999
M17_357,G1,0.243
M18_357,G1,0.259
M19_357,G1,0.247
M1_357,S-ph,0.587
M20_357,S-ph,0.431
M21_357,G2M,0.784
M22_357,G1,0.155
M23_357,G1,0.176
M2_357,S-ph,0.465
M3_357,G2M,0.689
M4_357,G2M,0.707
M5_357,S-ph,0.482
M7_357,S-ph,0.496
M8_357,G1,0.193999999999999
M9_357,G2M,0.833
N10_357,G1,0.231999999999999
N11_357,G1,0.256
N12_357,G1,0.268999999999999
N13_357,G1,0.213
N14_357,G1,
N15_357,G1,0.253
N16_357,G1,0.312
N17_357,G1,0.109
N18_357,G1,0.226
N19_357,G1,0.316
N1_357,G1,0.32
N20_357,G1,
N21_357,G1,
N22_357,G1,0.33
N23_357,G1,0.228
N24_357,G1,
N2_357,G1,
N3_357,G1,0.121
N4_357,G1,0.273
N5_357,G1,
N6_357,G1,0.235
N7_357,G1,0.284
N8_357,G1,
N9_357,G1,0.337
O10_357,S-ph,0.495
O11_357,S-ph,0.424
O12_357,S-ph,0.524
O13_357,S-ph,0.491
O14_357,S-ph,0.522
O15_357,S-ph,0.415
O16_357,S-ph,0.478
O17_357,S-ph,0.5
O18_357,S-ph,0.586
O19_357,S-ph,0.429
O1_357,S-ph,0.527
O20_357,S-ph,0.53
O21_357,S-ph,0.457999999999999
O22_357,S-ph,0.484
O23_357,S-ph,0.452
O24_357,S-ph,0.465
O2_357,S-ph,0.403999999999999
O3_357,S-ph,0.504
O4_357,S-ph,0.63
O5_357,S-ph,0.632
O6_357,S-ph,0.493
O7_357,S-ph,0.4
O8_357,S-ph,0.652
O9_357,S-ph,0.644
P10_357,G2M,0.636
P11_357,G2M,0.639
P12_357,G2M,0.609
P13_357,G2M,0.556
P14_357,G2M,0.598
P15_357,G2M,0.623
P16_357,G2M,0.607
P17_357,G2M,0.618
P18_357,G2M,0.649
P19_357,G2M,0.601
